bdb,strongs,LemmaGuess
BDB2188,H3860,הֵ֫מָּה
BDB2188,H3861,הֵ֫מָּה
BDB2189,H1993,הָמָה
BDB2190,H1995,הָמוֺן
BDB2190,H1996,הָמוֺן
BDB2191,H1998,הֶמְיָה
BDB2192,H1997,הֲמוֺנָהֿ
BDB2194,H1999,הֲמֻלָּה
BDB2195,H2000,הָמַם
BDB2196,H1950,הוֺמָ֑ם
BDB2196,H1967,הוֺמָ֑ם
BDB2198,H2001,הָמָן
BDB2200,H2003,הֶ֫מֶס
BDB2202,H4113,מַהֲמֹרָה
BDB2203,H2004,הֵן
BDB2203,H3860,הֵן
BDB2204,H2005,הֵן
BDB2204,H0518,הֵן
BDB2204,H2006,הֵן
BDB2205,H2009,הִנֵּה
BDB2206,H2008,הֵ֫נָּה
BDB2207,H2007,הֵ֫נָּה
BDB2208,H2011,הִנֹּם
BDB2209,H2012,הֵנַע
BDB2210,H2013,הַס
BDB2211,H2015,הָפַךְ
BDB2212,H2016,הֶ֫פֶךְ
BDB2212,H2017,הֶ֫פֶךְ
BDB2213,H2018,הֲפֵכָה
BDB2214,H2019,הֲפַכְפַּךְ
BDB2215,H4114,מַהְפֵּכָה
BDB2216,H4115,מַהְפֶּ֫כֶת
BDB2217,H5419,תַּהְפֻּכָה
BDB2218,H5324,הֻצַּב
BDB2219,H2021,הֹ֫צֶן
BDB2220,H2023,הֹר
BDB2221,H2024,הָרָא
BDB2222,H2025,הַרְאֵל
BDB2223,H2026,הָרַג
BDB2224,H2027,הֶ֫רֶג
BDB2225,H2028,הֲרֵגָה
BDB2226,H2029,הָרָה
BDB2227,H2030,הָרָה
BDB2228,H2030,הָרִיָּה
BDB2229,H2032,הֵרָיוֺן
BDB2230,H2033,הֲרוֺרִי
BDB2230,H2733,הֲרוֺרִי
BDB2231,H2036,הֹרָם
BDB2232,H2037,הָרֻם
BDB2233,H2038,הַרְמוֺן
BDB2234,H2039,הָרָן
BDB2235,H2040,הָרַס
BDB2236,H2041,הֶ֫רֶס
BDB2237,H2034,הֲרִיסָה
BDB2238,H2035,הֲרִיסוּת
BDB2240,H2022,הַר
BDB2240,H2042,הַר
BDB2241,H2043,הֲרָרִי
BDB2242,H2044,הָשֵׁם
BDB2243,H2047,הֲתָךְ
BDB2244,H2048,הָתַל
BDB2245,H2049,הֲתֻלִֿים
BDB2247,H2050,התת
BDB2248,H9000,ו
BDB2249,H9000,וְ
BDB2250,H2051,וְדָן
BDB2251,H2052,וָהֵב
BDB2252,H2053,וָו
BDB2254,H2054,וָזָר
BDB2255,H2055,וַיְזָתָא
BDB2256,H2057,וַנְיָה
BDB2257,H2058,וָפְסִי
BDB2258,H2059,וַשְׁנִי
BDB2259,H2060,וַשְׁתִּי
BDB2262,H2061,זְאֵב
BDB2263,H2062,זְאֵב
BDB2264,H2063,זֹאת
BDB2266,H2070,זְבוּב
BDB2267,H2079,זַבַּי
BDB2268,H2064,זָבַד
BDB2269,H2065,זֶ֫בֶד
BDB2270,H2066,זָבָד
BDB2271,H2071,זָבוּד
BDB2272,H2072,זבוד
BDB2273,H2080,זבידה
BDB2274,H2067,זַבְדִּי
BDB2275,H2068,זַבְדִיאֵל
BDB2276,H2069,זְבַדְיָהוּ
BDB2277,H2076,זָבַח
BDB2278,H2077,זֶ֫בַח
BDB2279,H2078,זֶ֫בַח
BDB2280,H4196,מִזְבֵּחַ
BDB2281,H2081,זְבִינָא
BDB2282,H2082,זָבַל
BDB2283,H2073,זְבֻל
BDB2284,H2083,זְבֻל
BDB2285,H2074,זְבוּלֻן
BDB2286,H2075,זְבוּלֹנִי
BDB2288,H2085,זָג
BDB2289,H2063,זֶה
BDB2290,H2090,זֹה
BDB2291,H2097,זוֹּ
BDB2292,H2098,זוּ
BDB2294,H2091,זָהָב
BDB2295,H2092,זָהַם
BDB2296,H2093,זָ֑הַם
BDB2297,H2094,זָהַר
BDB2298,H2096,זֹ֫הַר
BDB2299,H2094,זָהַר
BDB2300,H2099,זִר
BDB2301,H2100,זוּב
BDB2302,H2101,זוֺב
BDB2304,H2106,זָוִית
BDB2305,H4200,מָ֫זוּ
BDB2307,H2123,זִיז
BDB2308,H2124,זִיזָא
BDB2309,H2125,זִיזָה
BDB2309,H2126,זִיזָה
BDB2309,H2124,זִיזָה
BDB2310,H2117,זָזָא
BDB2311,H4201,מְזוּזָה
BDB2312,H3151,יָזִיז
BDB2314,H2123,זִיז
BDB2315,H2104,זוּזִים
BDB2316,H2105,זוֺחֵת
BDB2318,H2108,זוּלָה
BDB2319,H2107,זוּל
BDB2320,H2109,זוּן
BDB2321,H4202,מָזוֺן
BDB2322,H2111,זוּעַ
BDB2323,H2113,זְוָעָה
BDB2323,H2189,זְוָעָה
BDB2324,H2127,זִיעַ
BDB2325,H2190,זַעֲוָן
BDB2326,H2114,זוּר
BDB2327,H2114,זוּר
BDB2328,H2114,זָרָא
BDB2329,H2115,זוּר
BDB2329,H2116,זוּר
BDB2330,H2213,זֵר
BDB2331,H2223,זַרְזִיר
BDB2332,H4205,מָזוֺר
BDB2333,H2118,זָחַח
BDB2334,H2119,זָחַל
BDB2335,H2120,זֹחֶ֫לֶת
BDB2336,H2119,זָחַל
BDB2337,H2102,זִיד
BDB2338,H2086,זֵד
BDB2339,H2087,זָדוֺן
BDB2340,H2121,זֵידוֺן
BDB2341,H5138,נָזִיד
BDB2342,H2126,זִינָא
BDB2343,H2128,זִיף
BDB2344,H2130,זִיפִי
BDB2345,H2129,זִיפָה
BDB2346,H2132,זַ֫יִת
BDB2347,H2133,זֵיתָן
BDB2348,H2241,זֵתָם
BDB2349,H2135,זָכָה
BDB2350,H2141,זָכַךְ
BDB2351,H2134,זַךְ
BDB2352,H2137,זְכוֺכִית
BDB2353,H2140,זַכַּי
BDB2354,H2142,זָכַר
BDB2355,H2144,זֶ֫כֶר
BDB2356,H2143,זֶ֫כֶר
BDB2357,H2143,זֵ֫כֶר
BDB2358,H2145,זָכָר
BDB2359,H2138,זָכוּר
BDB2360,H2147,זִכְרִי
BDB2361,H2139,זַכּוּר
BDB2362,H2146,זִכָּרוֺן
BDB2363,H2148,זְכַרְיָהוּ
BDB2364,H0234,אַזְכָּרָה
BDB2365,H2142,מַזְכִּיר
BDB2367,H3152,יִזְלִיאָה
BDB2369,H4207,מַזְלֵג
BDB2370,H4207,מִזְלָגָה
BDB2371,H2151,זָלַל
BDB2372,H2150,זַלְזַל
BDB2373,H2151,זָלַל
BDB2374,H2149,זֻלֻּת
BDB2376,H2152,זַלְעָפָה
BDB2377,H2153,זלף
BDB2379,H2161,זָמַם
BDB2380,H2162,זָמָם
BDB2381,H2154,זִמָּה
BDB2382,H2155,זִמָּה
BDB2383,H4209,מְזִמָּה
BDB2384,H2157,זַמְזֻמִּים
BDB2385,H2163,זָמַן
BDB2386,H2165,זְמָ֑ן
BDB2387,H2167,זמר
BDB2388,H2172,זִמְרָה
BDB2388,H2176,זִמְרָה
BDB2389,H2158,זָמִיר
BDB2390,H4210,מִזְמוֺר
BDB2391,H2168,זָמַר
BDB2392,H2159,זָמִיר
BDB2393,H2156,זְמוֺרָה
BDB2394,H4211,מַזְמֵרָה
BDB2395,H4212,מְזַמֶּרֶת
BDB2397,H2173,זִמְרָה
BDB2398,H2169,זֶ֫מֶר
BDB2399,H2174,זִמְרִי
BDB2400,H2174,זִמְרִי
BDB2401,H2175,זִמְרָן
BDB2402,H2160,זְמִירָה
BDB2403,H2177,זַן
BDB2405,H2180,זָנָב
BDB2406,H2179,זִנֵּב
BDB2407,H2181,זָנָה
BDB2408,H2183,זְנוּנִים
BDB2409,H2184,זְנוּת
BDB2410,H8457,תַּזְנוּת
BDB2411,H2186,זָנַח
BDB2412,H2186,זָנַח
BDB2413,H2182,זָנוֺחַ
BDB2414,H2187,זָנַק
BDB2415,H2190,זַעֲוָן
BDB2416,H2193,זָעַךְ
BDB2417,H2194,זָעַם
BDB2418,H2195,זַ֫עַם
BDB2419,H2196,זַעַף
BDB2420,H2197,זַ֫עַף
BDB2421,H2198,זָעֵף
BDB2422,H2199,זָעַק
BDB2423,H2201,זְעָקָה
BDB2425,H2191,זְעֵיר
BDB2426,H4213,מִזְעָר
BDB2427,H2202,זִפְרֹן
BDB2428,H2203,זֶ֫פֶת
BDB2429,H2131,זֵק
BDB2430,H2131,זֵק
BDB2432,H2206,זָקָן
BDB2433,H2204,זָקֵן
BDB2434,H2205,זָקֵן
BDB2435,H2207,זֹ֫קֶן
BDB2436,H2209,זִקְנָה
BDB2437,H2208,זְקֻנִים
BDB2438,H2210,זָקַף
BDB2439,H2212,זָקַק
BDB2440,H2212,זקק
BDB2441,H2131,זֵק
BDB2442,H0246,אֲזֵק
BDB2443,H2215,זָרַב
BDB2444,H2216,זְרֻבָּבֶ֫ל
BDB2445,H2218,זֶ֫רֶד
BDB2446,H2219,זָרָה
BDB2446,H4215,זָרָה
BDB2447,H4214,מִזְרֶה
BDB2448,H2222,זַרְזִיף
BDB2449,H2223,זַרְזִיר
BDB2450,H2224,זָרַח
BDB2451,H2225,זֶ֫רַח
BDB2452,H2226,זֶ֫רַח
BDB2453,H2227,זַרְחִי
BDB2454,H2228,זְרַחְיָה
BDB2455,H0249,אֶזְרָח
BDB2456,H0250,אֶזְרָחִי
BDB2457,H3155,יִזְרָ֑ח
BDB2458,H3156,יִזְרַחְיָה
BDB2459,H4217,מִזְרָח
BDB2460,H2229,זָרַם
BDB2461,H2230,זֶ֫רֶם
BDB2462,H2231,זִרְמָה
BDB2463,H2232,זָרַע
BDB2464,H2233,זֶ֫רַע
BDB2465,H2221,זֵרוּעַ
BDB2466,H2235,זִרִֹעַ
BDB2467,H2235,זֵָֽרְעֹן
BDB2468,H3157,יִזְרְעֶאל
BDB2469,H3158,יִזְרְעֵאלִי
BDB2469,H3159,יִזְרְעֵאלִי
BDB2470,H4218,מִזְרָע
BDB2472,H2220,זְרוֺעַ
BDB2473,H0248,אֶזְרוֺעַ
BDB2474,H2222,זָרַף
BDB2475,H2222,זַרְזִיף
BDB2476,H2236,זָרַק
BDB2477,H4219,מִזְרָק
BDB2478,H2237,זָרַר
BDB2479,H2238,זֶ֫רֶשׁ
BDB2480,H2239,זֶ֫רֶת
BDB2481,H2240,זַתּוּא
BDB2482,H2241,זֵתָם
BDB2483,H2242,זֵתַר
BDB2485,H2244,חָבָא
BDB2486,H4224,מַחֲבֵא
BDB2487,H4224,מַחֲבֹא
BDB2488,H2245,חָבַב
BDB2489,H2243,חֹב
BDB2490,H2246,חֹבָב
BDB2491,H3160,חֻבָּה
BDB2492,H2247,חָבָה
BDB2493,H2253,חֶבְיוֺן
BDB2494,H2252,חֲבָיָה
BDB2495,H5147,נַחְבִּי
BDB2496,H2251,חָבַט
BDB2497,H2254,חָבַל
BDB2498,H2256,חֶ֫בֶל
BDB2499,H2256,חֵ֫בֶל
BDB2500,H2258,חֲבֹל
BDB2501,H2258,חֲבֹלָה
BDB2502,H2260,חִבֵּל
BDB2503,H2259,חֹבֵל
BDB2504,H2256,חֹבְלִים
BDB2505,H8458,תַּחְבֻּלָה
BDB2506,H2254,חָבַל
BDB2507,H2256,חֶ֫בֶל
BDB2508,H2261,חֲבַצֶּלֶת
BDB2509,H2262,חֲבַצִּנְיָה
BDB2510,H2263,חָבַק
BDB2511,H2264,חִבֻּק
BDB2512,H2265,חֲבַקּוּק
BDB2513,H2266,חָבַר
BDB2514,H2267,חֶ֫בֶר
BDB2515,H2268,חֶ֫בֶר
BDB2516,H2277,חֶבְרִי
BDB2517,H2274,חֶבְרָה
BDB2518,H2270,חָבֵר
BDB2519,H2278,חֲבֶ֫רֶת
BDB2520,H2279,חֹבֶ֫רֶת
BDB2521,H2271,חַבָּר
BDB2522,H2250,חַבּוּרָה
BDB2523,H2272,חֲבַרְבֻּרָה
BDB2524,H2275,חֶבְרוֺן
BDB2525,H2275,חֶבְרוֺן
BDB2526,H2276,חֶבְרוֺנִי
BDB2527,H4225,מַחְבֶּ֫רֶת
BDB2528,H4226,מְחַבְּרָה
BDB2529,H2249,חָבוֺר
BDB2530,H2280,חָבַשׁ
BDB2532,H2281,חֲבִתִּים
BDB2533,H4227,מַחֲבַת
BDB2535,H2284,חָגָב
BDB2536,H2285,חָגָּב
BDB2537,H2286,חֲגָבָא
BDB2538,H2286,חֲגָבָה
BDB2539,H2287,חָגַג
BDB2540,H2282,חַג
BDB2541,H2283,חָגָּא
BDB2542,H2292,חַגַּי
BDB2543,H2291,חַגִּי
BDB2544,H2293,חַגִיָּה
BDB2545,H2294,חַגִּית
BDB2547,H2288,חֲגָוִים
BDB2549,H2295,חָגְלָה
BDB2550,H2296,חָגַר
BDB2551,H2290,חֲגוֺר
BDB2552,H2289,חָגוֺר
BDB2553,H2290,חֲגוֺרָה
BDB2554,H4228,מַחֲגֹ֫רֶת
BDB2555,H2297,חַד
BDB2556,H2299,חַד
BDB2557,H2300,חָדַד
BDB2558,H2299,חַד
BDB2559,H2303,חַדּוּד
BDB2560,H2301,חֲדַד
BDB2561,H2307,חָדִיד
BDB2562,H2300,חָדָה
BDB2563,H2302,חָדָה
BDB2564,H2304,חֶדְוָה
BDB2565,H3164,יַחְדִּיאֵל
BDB2566,H3165,יֶחְדְּיָ֫הוּ
BDB2567,H2308,חָדַל
BDB2568,H2310,חָדֵל
BDB2569,H2309,חֶ֫דֶל
BDB2570,H2311,חַדְלָ֑י
BDB2572,H2312,חֵ֑דֶק
BDB2573,H2313,חִדֶּ֫קֶל
BDB2574,H2314,חָדַר
BDB2575,H2315,חֶ֫דֶר
BDB2575,H2316,חֶ֫דֶר
BDB2576,H2317,חַדְרָ֔ךְ
BDB2577,H2318,חָדַשׁ
BDB2578,H2319,חָדָשׁ
BDB2579,H2320,חֹ֫דֶשׁ
BDB2580,H2321,חֹ֫דֶשׁ
BDB2581,H2322,חֲדָשָׁה
BDB2582,H8483,חָדְשִׁי
BDB2583,H2325,חוּב
BDB2584,H2326,חוֺב
BDB2585,H2327,חוֺבָה
BDB2586,H2328,חוּג
BDB2587,H2329,חוּג
BDB2588,H4230,מְחוּגָה
BDB2590,H2420,חִידָה
BDB2591,H2330,חוּד
BDB2592,H2421,חוה
BDB2593,H2332,חַוָּה
BDB2594,H3171,יחואל
BDB2596,H2333,חַוָּה
BDB2596,H2334,חַוָּה
BDB2597,H2340,חִוִּי
BDB2598,H4233,מַחֲוִים
BDB2599,H2331,חָוָה
BDB2600,H0262,אַחְוָה
BDB2601,H2335,חוֺזָ֑י
BDB2603,H2336,חוֺחַ
BDB2603,H2337,חוֺחַ
BDB2604,H2397,חַח
BDB2606,H2339,חוּט
BDB2607,H2341,חֲוִילָה
BDB2608,H2342,חוּל
BDB2609,H2344,חוֺל
BDB2610,H2427,חִיל
BDB2611,H2427,חִילָה
BDB2612,H2426,חֵל
BDB2612,H2430,חֵל
BDB2613,H2430,חֵילָה
BDB2614,H2431,חֵילָם
BDB2615,H2432,חִילֵן
BDB2616,H2473,חֹלוֺן
BDB2617,H2497,חֵלֹן
BDB2618,H2479,חַלְחָלָה
BDB2619,H4234,מָחוֺל
BDB2620,H4246,מְחוֺלָה
BDB2621,H2342,חול
BDB2622,H2428,חַ֫יִל
BDB2623,H2343,חוּל
BDB2625,H2345,חוּם
BDB2626,H2347,חוּס
BDB2627,H2349,חוּפָם
BDB2628,H2350,חוּפָמִי
BDB2630,H2351,חוּץ
BDB2631,H2435,חִיצוֺן
BDB2633,H2434,חַ֫יִץ
BDB2635,H2436,חוק
BDB2636,H2436,חֵיק
BDB2637,H2712,חוִּקֹק
BDB2638,H2357,חָוַר
BDB2639,H2353,חוּר
BDB2640,H2355,חוֺרָ֑י
BDB2641,H2751,חֹרִי
BDB2642,H2354,חוּר
BDB2642,H1133,חוּר
BDB2642,H2352,חוּר
BDB2644,H2360,חוּרַי
BDB2644,H1914,חוּרַי
BDB2645,H2359,חוּרִי
BDB2646,H2437,הִירָה
BDB2648,H2735,חֹר
BDB2649,H2362,חַוְרָן
BDB2650,H2363,חוּשׁ
BDB2650,H2439,חוּשׁ
BDB2651,H2440,חִישׁ
BDB2652,H2363,חוּשׁ
BDB2653,H2364,חוּשָׁה
BDB2654,H2843,חֻשָׁתִי
BDB2655,H2365,חוּשַׁי
BDB2656,H2366,חוּשִׁים
BDB2657,H2366,חֻשִׁים
BDB2658,H2367,חֻשָֿׁם
BDB2659,H2372,חָזָה
BDB2660,H2335,חוֺזָ֑י
BDB2661,H2374,חֹזֶה
BDB2661,H2335,חֹזֶה
BDB2662,H2377,חָזוֺן
BDB2663,H2378,חָזוֺת
BDB2664,H2380,חָזוּת
BDB2665,H2384,חִזָּיוֺן
BDB2666,H2383,חֶזְיוֺן
BDB2667,H2371,חֲזָהאֵל
BDB2668,H2381,חֲזִיאֵל
BDB2669,H2382,חֲזָיָה
BDB2670,H3166,יַחֲזִיאֵל
BDB2671,H3167,יַחְזְיָה
BDB2672,H4236,מַחֲזֶה
BDB2673,H4237,מֶחֱזָה
BDB2674,H4238,מַחֲזִיאֹת
BDB2676,H2373,חָזֶה
BDB2677,H2375,חֲזוֺ
BDB2679,H2385,חֲזִיז
BDB2680,H2388,חָזַק
BDB2681,H2389,חָזָק
BDB2682,H2390,חָזֵק
BDB2683,H2391,חֵ֫זֶק
BDB2684,H2393,חֶזְקָה
BDB2685,H2392,חֹ֫זֶק
BDB2686,H2394,חָזְקָה
BDB2687,H2395,חִזְקִי
BDB2688,H2396,חִזְקִיָּ֫הוּ
BDB2688,H3169,חִזְקִיָּ֫הוּ
BDB2689,H3168,יְחֶזְקֵאל
BDB2691,H2386,חֲזִיר
BDB2692,H2387,חֵזִיר
BDB2693,H0274,יַחְזֵרָה
BDB2693,H3170,יַחְזֵרָה
BDB2694,H2398,חָטָא
BDB2695,H2399,חֵטְא
BDB2696,H2400,חַטָּא
BDB2697,H2402,חַטָּאָה
BDB2698,H2401,חֲטָאָה
BDB2699,H2403,חַטָּאת
BDB2700,H2404,חָטַב
BDB2702,H2405,חֲטֻבוֺת
BDB2703,H2406,חִטָּה
BDB2705,H2410,חֲטִיטָא
BDB2707,H2411,חַטִּיל
BDB2708,H2413,חָטַם
BDB2709,H2414,חָטַף
BDB2710,H2412,חֲטִיפָא
BDB2712,H2415,חֹ֫טֶר
BDB2714,H2407,חַטּוּשׁ
BDB2715,H2421,חָיָה
BDB2715,H2425,חָיָה
BDB2716,H2416,חַי
BDB2717,H2416,חַי
BDB2718,H2416,חַיָּה
BDB2719,H2416,חַיָּה
BDB2720,H2422,חָיֶה
BDB2721,H2416,חַיִּים
BDB2722,H2424,חַיּוּת
BDB2723,H4241,מִחְיָה
BDB2724,H2419,חִיאֵל
BDB2725,H3171,יְחִיאֵל
BDB2726,H3172,יְחִיאֵלִי
BDB2727,H3174,יְחִיָּה
BDB2728,H2442,חָכָה
BDB2730,H2444,חֲכִילָה
BDB2731,H2447,חַכְלִילִי
BDB2732,H2448,חַכְלִילוּת
BDB2733,H2446,חֲכַלְיָה
BDB2734,H2449,חָכַם
BDB2735,H2450,חָכָם
BDB2736,H2451,חָכְמה
BDB2736,H2454,חָכְמה
BDB2737,H2453,חַכְמוֺנִי
BDB2738,H8461,תַּחְכְּמֹנִי
BDB2739,H2456,חָלָא
BDB2740,H8463,תַּחֲלֻאִים
BDB2742,H2457,חֶלְאָה
BDB2743,H2458,חֶלְאָה
BDB2745,H2461,חָלָב
BDB2747,H2459,חֵ֫לֶב
BDB2748,H2460,חֵ֫לֶב
BDB2749,H2462,חֶלְבָּה
BDB2750,H2463,חֶלְבּוֺן
BDB2751,H2464,חֶלְבְּנָה
BDB2752,H0303,אַחְלָב
BDB2754,H2465,חֶ֫לֶד
BDB2756,H2466,חֵ֫לֶד
BDB2757,H2467,חֹ֫לֶד
BDB2758,H2468,חֻלְדָּה
BDB2759,H2469,חֶלְדַּי
BDB2760,H2470,חָלָה
BDB2761,H2483,חֳלִי
BDB2762,H4245,מַחֲלֶה
BDB2763,H4245,מַחֲלָה
BDB2764,H4251,מַהֲלוּי
BDB2765,H2470,חָלָה
BDB2766,H4257,מַחֲלַת
BDB2768,H2481,חֲלִי
BDB2769,H2482,חֲלִי
BDB2770,H2484,חֶלְיָה
BDB2771,H2477,חֲלַח
BDB2772,H2478,חַלְחוּל
BDB2773,H2479,חַלְחָלָה
BDB2774,H2480,חָלַט
BDB2776,H2489,ֵחלְכָה
BDB2777,H2490,חָלַל
BDB2778,H2491,חָלָל
BDB2779,H2471,חַלָּה
BDB2780,H2474,חַלּוֺן
BDB2781,H2485,חָלִיל
BDB2782,H2490,חלל
BDB2783,H4247,מְחִלָּה
BDB2784,H2490,חָלַל
BDB2785,H2455,חֹל
BDB2786,H2491,חָלָל
BDB2787,H2486,חָלִ֫ילָה
BDB2788,H8462,תְּחִלָּה
BDB2789,H2492,חָלַם
BDB2790,H2494,חֵ֫לֶם
BDB2791,H2492,חָלַם
BDB2792,H2472,חֲלוֺם
BDB2793,H2495,חַלָּמוּת
BDB2795,H2496,חַלָּמִישׁ
BDB2796,H2498,חָלַף
BDB2797,H2500,חֵ֫לֶף
BDB2798,H2501,חֵ֑לֶף
BDB2799,H2475,חֲלוֺף
BDB2800,H2487,חֲלִיפָה
BDB2801,H4252,מַחֲלָף
BDB2802,H4253,מַחֲלָפָה
BDB2803,H2502,חָלַץ
BDB2804,H2488,חֲלִיצָה
BDB2805,H4254,מַחֲלָצָה
BDB2806,H2502,חָלַץ
BDB2807,H2504,חָלָץ
BDB2808,H2503,חֶ֫לֶץ
BDB2810,H2505,חָלַק
BDB2811,H2506,חֵ֫לֶק
BDB2812,H2507,חֵ֫לֶק
BDB2813,H2516,חֶלְקִי
BDB2814,H2513,חֶלְקָה
BDB2815,H2515,חֲלֻקָּה
BDB2816,H2517,חֶלְקָ֑י
BDB2817,H2520,חֶלְקָת֨
BDB2818,H2521,חֶלְקַת הַצֻּרִים
BDB2819,H2518,חִלְקִיָּהוּ
BDB2820,H4256,מַחֲלֹ֫קֶת
BDB2821,H2505,חָלַק
BDB2822,H2506,חֵ֫לֶק
BDB2823,H2509,חָלָק
BDB2823,H2510,חָלָק
BDB2823,H2511,חָלָק
BDB2824,H2513,חֶלְקָה
BDB2825,H2512,חַלֻּק
BDB2826,H2514,חֲלַקָּה
BDB2827,H2519,חֲלַקְלַקּוֺת
BDB2828,H5555,מַחְלְקוֺת
BDB2829,H2522,חָלַשׁ
BDB2830,H2523,חַלָּשׁ
BDB2831,H2476,חֲלוּשָׁה
BDB2832,H2526,חָם
BDB2833,H2524,חָם
BDB2834,H2525,חָם
BDB2836,H2529,חֶמְאָה
BDB2837,H4260,מַחֲמָאֹת
BDB2838,H2534,חֵמָא
BDB2839,H2530,חָמַד
BDB2840,H2531,חֶ֫מֶד
BDB2841,H2532,חֶמְדָּה
BDB2842,H2530,חֲמוּדָה
BDB2843,H2533,חֶמְדָּן
BDB2844,H4261,מַחְמַד
BDB2845,H4262,מַחְמֹד
BDB2847,H2524,חָם
BDB2848,H2545,חָמוֺת
BDB2849,H2346,חוֺמָה
BDB2850,H3181,יַחְמַי
BDB2851,H2537,חֲמוּטַל
BDB2852,H2534,חֵמָה
BDB2852,H2529,חֵמָה
BDB2852,H2552,חֵמָה
BDB2853,H2536,חַמּוּאֵל
BDB2855,H2546,חֹ֫מֶט
BDB2856,H2547,חֻמְטָה
BDB2857,H2550,חָמַל
BDB2858,H2538,חָמוּל
BDB2859,H2539,חָמוּלִי
BDB2860,H2551,חֶמְלָה
BDB2861,H4263,מַחְמָל
BDB2862,H2552,חָמַם
BDB2863,H2527,חֹם
BDB2864,H2525,חָם
BDB2864,H2526,חָם
BDB2864,H2524,חָם
BDB2865,H2535,חַמָּה
BDB2866,H2553,חַמָּן
BDB2867,H2540,חַמּוֺן
BDB2868,H2575,חַמַּת
BDB2868,H2576,חַמַּת
BDB2868,H2540,חַמַּת
BDB2869,H2575,חַמַּת
BDB2870,H2576,חַמֹּת דּאֹר
BDB2871,H2536,חַמּוּאֵל
BDB2872,H2554,חָמַס
BDB2873,H2555,חָמָס
BDB2874,H8464,תַּחְמָס
BDB2875,H2556,חָמֵץ
BDB2876,H2557,חָמֵץ
BDB2877,H2558,חֹ֫מֶץ
BDB2878,H2548,חָמִיץ
BDB2879,H2557,מַחְמֶ֫צֶת
BDB2880,H2556,חמץ
BDB2881,H2556,חמץ
BDB2882,H2541,חָמוֺץ
BDB2883,H2559,חָמַק
BDB2884,H2542,חַמּוּק
BDB2885,H2560,חָמַר
BDB2886,H2561,חֶ֫מֶר
BDB2887,H2564,חֵמָר
BDB2888,H2563,חֹ֫מֶר
BDB2889,H2560,חָמַר
BDB2891,H2563,חֹ֫מֶר
BDB2892,H2563,חֹ֫מֶר
BDB2893,H2543,חֲמוֺר
BDB2893,H2565,חֲמוֺר
BDB2894,H2560,חמר
BDB2895,H2543,חֲמוֺר
BDB2896,H2544,חֲמוֺר
BDB2897,H2566,חַמְרָן
BDB2898,H3180,יַחְמוּר
BDB2900,H2568,חָמֵשׁ
BDB2901,H2569,חֹ֫מֶשׁ
BDB2902,H2567,חמשׁ
BDB2903,H2572,חֲמִשִּׁים
BDB2904,H2549,חֲמִישִׁי
BDB2906,H2570,חֹ֫מֶשׁ
BDB2908,H2571,חֲמֻשִׁים
BDB2910,H2573,חֵ֫מֶת
BDB2911,H2574,חֲמָת
BDB2911,H2579,חֲמָת
BDB2911,H2578,חֲמָת
BDB2912,H2577,חֲמָתִי
BDB2913,H2575,חַמַּת
BDB2914,H2583,חָנָה
BDB2915,H2588,חָנוּת
BDB2916,H2595,חֲנִית
BDB2917,H4264,מַחֲנֶה
BDB2918,H4265,מַחֲנֵהדָֿ֑ן
BDB2919,H4266,מַחֲנַיִם
BDB2920,H8465,תַּ֫חַן
BDB2921,H8470,תַּחֲנִי
BDB2922,H8466,תַּחֲנָה
BDB2923,H2590,חָנַט
BDB2924,H2590,חֲנֻטִים
BDB2925,H2406,חִטָּה
BDB2926,H2592,חַנִּיאֵל
BDB2928,H2441,חֵךְ
BDB2929,H2596,חִָנִךְ
BDB2930,H2585,חֲנוֺךְ
BDB2931,H2599,חֲנֹכִי
BDB2932,H2593,חָנִיךְ
BDB2933,H2598,חֲנֻכָּה
BDB2934,H2443,חַכָּה
BDB2935,H2601,חֲנַמְאֵל
BDB2936,H2602,חֲנָמֵל
BDB2937,H2603,חָנַן
BDB2937,H2589,חָנַן
BDB2938,H2580,חֵן
BDB2939,H2600,חִנָּם
BDB2940,H2581,חֵן
BDB2941,H2433,חִין
BDB2942,H2584,חַנָּה
BDB2943,H2605,חָנָן
BDB2944,H2586,חָנוּן
BDB2945,H2587,חַנּוּן
BDB2946,H2594,חֲנִינָה
BDB2947,H2592,חַנִּיאֵל
BDB2948,H2606,חֲנַנְאֵל
BDB2949,H2582,חֵנָדָד
BDB2950,H2607,חֲנָנִי
BDB2951,H2608,חֲנַנְיָ֫הוּ
BDB2952,H2615,חַנָּתֹן
BDB2953,H8467,תְּחִנּה
BDB2954,H8468,תְּחִנָּה
BDB2955,H8469,תַּחֲנוּן
BDB2956,H2603,חָנַן
BDB2957,H2609,חָנֵס
BDB2958,H2610,חָנֵף
BDB2959,H2612,חֹ֫נֶף
BDB2960,H2611,חָנֵף
BDB2961,H2613,חֲנֻפָּה
BDB2962,H2614,חָנַק
BDB2963,H4267,מַחֲנָק
BDB2964,H2616,חָסַד
BDB2965,H2617,חֶ֫סֶד
BDB2966,H2623,חָסִיד
BDB2967,H2624,חֲסִידָה
BDB2968,H2619,חֲסַדְיָה
BDB2969,H2616,חָסַד
BDB2970,H2617,חֶ֫סֶד
BDB2971,H2620,חָסָה
BDB2972,H2621,חֹסָה
BDB2973,H2622,חָסוּת
BDB2974,H4268,מַחְסֶּה
